qa_index_digits	gold_labels_binary	r_text	q_text	q_text_last_question	gold_sentiments	gold_q_sentiments	gold_workers	gold_q_intents	hit_order	q_speaker_role	r_speaker_role	gold_q_intents_num	q_speaker_party	gold_sentiments_num	gold_q_sentiments_num	gold_sentiments_coarse_num	q_speaker	gold_sentiments_binary	gold_q_sentiments_count	gold_sentiments_coarse_count	gold_sentiments_coarse_binary	gold_q_sentiments_coarse_count	gold_q_sentiments_coarse_num	gold_q_sentiments_coarse_binary	entropy	entropy_norm	entropy_norm_buckets	entropy_binarized	question_type_num	q_text_all_questions	gold_label_powerset	gold_label_powerset_binary	q_text_last_2_sents	q_text_last_3_sents	q_text_first_question_and_rest	q_text_last_question_and_rest	target	prediction	logits	logits_target	target_count	logits_min	logits_max	logits_mean	logits_sum	label_match_count
11426003115	100000	Virgin American.	Mr. Chairman, the American people need an assurance that this cross-selling mania that has afflicted Wells Fargo is not to be found at the other big banks. And I would urge you to have hearings where we hear from the CEOs of Bank of America, Citigroup, and others.    And, until then, I hope that you would join with me in a letter of inquiry to ask what new account-opening quotas they had for their bank tellers, how many people they fired for not meeting their quotas, or how many people they fired for opening phony accounts.    We have Wells Fargo before me, but I don't think, Mr. Stumpf, that you should be alone in this joyous experience. Your colleagues should at least come forward with some assurance.    We are now engaged in an important national ritual where the CEO comes before the Representatives of the American people to apologize, to take full responsibility, to do so humbly.    Mr. Stumpf, welcome to Washington. What plane did you fly in on? What airline?	What airline?	('negative', 'positive', 'negative', 'negative', 'neutral', 'negative')	('neutral', 'positive', 'somewhatPositive', 'positive', 'neutral', 'positive')	('worker_60', 'worker_31', 'worker_41', 'worker_9', 'worker_20', 'worker_8')	('attack', 'neutral', 'neutral', 'attack', 'attack', 'attack')	3	 California	 John G.  Chairman and Chief Executive Officer  Wells Fargo and Company	-1 0 0 -1 -1 -1	Democratic	-2 2 -2 -2 0 -2	0 2 1 2 0 2	-1 1 -1 -1 0 -1	Mr.  Sherman	0 1 0 1 0 1 0	0 0 0 2 1 3 0	4 1 1	1 1 1	0 2 4	0 1 1 1 0 1	0 1 1	0.0	0.0	0.0	10000000	4	What plane did you fly in on? What airline?	0	100000000000000000000000000	What plane did you fly in on? What airline?	Mr. Stumpf, welcome to Washington. What plane did you fly in on? What airline?	What plane did you fly in on? What airline?	What airline?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.3453593254089355, -2.882678747177124, 1.235456943511963, -0.238807812333107, -0.2258869856595993, 1.4898549318313599]	[5.3453593254089355]	1	5.345359325408936	5.345359325408936	5.345359325408936	5.345359325408936	6
11388494052	100000	Most irrelevant material.	Okay. And you said, you just testified to us probably most of--and you said you gave 640,000 to the Ways and Means and 420 to our committee. But you also said here, and we can play the tape back, probably most irrelevant material, right?	But you also said here, and we can play the tape back, probably most irrelevant material, right?	('negative', 'neutral', 'somewhatNegative', 'somewhatNegative', 'neutral', 'somewhatNegative', 'somewhatNegative')	('neutral', 'neutral', 'somewhatPositive', 'somewhatNegative', 'neutral', 'neutral', 'positive')	('worker_42', 'worker_0', 'worker_62', 'worker_1', 'worker_20', 'worker_51', 'worker_9')	('neutral', 'attack', 'attack', 'neutral', 'attack', 'neutral', 'neutral')	4	 Florida	 Commissioner  Internal Revenue Service 	0 -1 -1 0 -1 0 0	Republican	-2 0 -1 -1 0 -1 -1	0 0 1 -1 0 0 2	-1 0 -1 -1 0 -1 -1	Mr. Mica	0 1 1 1 0 0 0	0 0 1 4 1 1 0	5 2 0	1 1 0	1 4 2	0 0 1 -1 0 0 1	1 1 1	0.0	0.0	0.0	10000000	3	But you also said here, and we can play the tape back, probably most irrelevant material, right?	0	100000000000000000000000000	And you said, you just testified to us probably most of--and you said you gave 640,000 to the Ways and Means and 420 to our committee. But you also said here, and we can play the tape back, probably most irrelevant material, right?	Okay. And you said, you just testified to us probably most of--and you said you gave 640,000 to the Ways and Means and 420 to our committee. But you also said here, and we can play the tape back, probably most irrelevant material, right?	But you also said here, and we can play the tape back, probably most irrelevant material, right?	But you also said here, and we can play the tape back, probably most irrelevant material, right?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.276823043823242, -3.1039955615997314, 1.2649776935577393, -0.320317804813385, -0.2557068467140198, 1.4914755821228027]	[5.276823043823242]	1	5.276823043823242	5.276823043823242	5.276823043823242	5.276823043823242	6
11495063095	100000	I just got it at 12:29; it came out at 12:25.	Before you got here, before you left to come over here? When did you see this the first time?	When did you see this the first time?	('negative', 'somewhatPositive', 'neutral', 'somewhatNegative', 'somewhatPositive', 'neutral')	('negative', 'positive', 'neutral', 'neutral', 'neutral', 'neutral')	('worker_41', 'worker_1', 'worker_0', 'worker_51', 'worker_52', 'worker_20')	('neutral', 'neutral', 'attack', 'neutral', 'neutral', 'attack')	1	 South Carolina	 Hon. Fred P.  President and Chairman  Export-Import Bank of the United States	0 0 -1 0 0 -1	Republican	-2 1 0 -1 1 0	-2 2 0 0 0 0	-1 1 0 -1 1 0	Mr. Mulvaney	0 1 1 1 1 0 0	0 1 0 4 0 1 0	2 2 2	1 1 1	1 4 1	-1 1 0 0 0 0	1 1 1	0.0	0.0	0.0	10000000	4	Before you got here, before you left to come over here? When did you see this the first time?	0	100000000000000000000000000	Before you got here, before you left to come over here? When did you see this the first time?	Before you got here, before you left to come over here? When did you see this the first time?	Before you got here, before you left to come over here? When did you see this the first time?	When did you see this the first time?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.264833450317383, -2.9697470664978027, 1.3751928806304932, -0.4147800803184509, -0.24565398693084717, 1.6044174432754517]	[5.264833450317383]	1	5.264833450317383	5.264833450317383	5.264833450317383	5.264833450317383	6
11386195084	100000	6103	No, no, no. What is the number?	What is the number?	('somewhatNegative', 'positive', 'somewhatNegative', 'neutral', 'negative', 'neutral', 'neutral')	('neutral', 'positive', 'neutral', 'neutral', 'somewhatPositive', 'neutral', 'somewhatNegative')	('worker_62', 'worker_9', 'worker_20', 'worker_0', 'worker_51', 'worker_42', 'worker_30')	('neutral', 'neutral', 'attack', 'attack', 'neutral', 'neutral', 'attack')	5	 Ohio	 Director Affordable Care Act Office  Internal Revenue Service 	0 0 -1 -1 0 0 -1	Republican	-1 2 -1 0 -2 0 0	0 2 0 0 1 0 -1	-1 1 -1 0 -1 0 0	Mr. Jordan	0 1 1 1 0 1 0	0 0 1 4 1 1 0	3 3 1	1 1 1	1 4 2	0 1 0 0 1 0 -1	1 1 1	0.0	0.0	0.0	10000000	4	What is the number?	0	100000000000000000000000000	No, no, no. What is the number?	No, no, no. What is the number?	What is the number?	What is the number?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.248238563537598, -3.195155620574951, 1.3787899017333984, -0.13528290390968323, -0.003552393987774849, 1.5839859247207642]	[5.248238563537598]	1	5.248238563537598	5.248238563537598	5.248238563537598	5.248238563537598	6
11386195049	100000	A small number of people trying to keep essential things moving.	Ninety percent. Well, who is left?	Well, who is left?	('positive', 'neutral', 'neutral', 'positive', 'somewhatNegative', 'somewhatPositive')	('positive', 'somewhatNegative', 'neutral', 'positive', 'negative', 'somewhatPositive')	('worker_9', 'worker_20', 'worker_0', 'worker_51', 'worker_39', 'worker_42')	('neutral', 'attack', 'attack', 'neutral', 'attack', 'neutral')	3	 New York	 Director Affordable Care Act Office  Internal Revenue Service 	0 -1 -1 0 -1 0	Democratic	2 0 0 2 -1 1	2 -1 0 2 -2 1	1 0 0 1 -1 1	Mrs. Maloney	0 0 1 1 1 1 0	0 1 1 1 1 2 0	1 2 3	1 1 1	2 1 3	1 -1 0 1 -1 1	1 1 1	0.0	0.0	0.0	10000000	4	Well, who is left?	0	100000000000000000000000000	Ninety percent. Well, who is left?	Ninety percent. Well, who is left?	Well, who is left?	Well, who is left?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.229739665985107, -2.318169116973877, 0.8308741450309753, -0.47085192799568176, -0.6828148365020752, 1.4305521249771118]	[5.229739665985107]	1	5.229739665985107	5.229739665985107	5.229739665985107	5.229739665985107	6
11495063093	100000	Just a few hours ago, when it came out.	Okay. By the way, when did you see this for the first time?	By the way, when did you see this for the first time?	('somewhatNegative', 'neutral', 'neutral', 'positive', 'positive', 'positive', 'somewhatPositive')	('veryNegative', 'neutral', 'somewhatPositive', 'positive', 'neutral', 'positive', 'somewhatPositive')	('worker_41', 'worker_0', 'worker_51', 'worker_20', 'worker_62', 'worker_9', 'worker_52')	('neutral', 'attack', 'neutral', 'attack', 'attack', 'neutral', 'attack')	5	 South Carolina	 Hon. Fred P.  President and Chairman  Export-Import Bank of the United States	0 -1 0 -1 -1 0 -1	Republican	-1 0 0 2 2 2 1	-3 0 1 2 0 2 1	-1 0 0 1 1 1 1	Mr. Mulvaney	0 0 1 1 1 1 0	1 0 0 2 2 2 0	1 2 4	1 1 1	1 2 4	-1 0 1 1 0 1 1	1 1 1	0.0	0.0	0.0	10000000	4	By the way, when did you see this for the first time?	0	100000000000000000000000000	Okay. By the way, when did you see this for the first time?	Okay. By the way, when did you see this for the first time?	By the way, when did you see this for the first time?	By the way, when did you see this for the first time?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.226744174957275, -3.282738447189331, 1.1375458240509033, -0.17107586562633514, 0.0017841774970293045, 1.4166491031646729]	[5.226744174957275]	1	5.226744174957275	5.226744174957275	5.226744174957275	5.226744174957275	6
11495063019	100000	Of course, there are problems. It is a $20 billion giant infrastructure project in a remote part of the world.	So there are no problems? Are you saying there are no problems with the deal?	Are you saying there are no problems with the deal?	('neutral', 'positive', 'neutral', 'somewhatPositive', 'positive', 'neutral')	('veryNegative', 'positive', 'neutral', 'neutral', 'somewhatPositive', 'neutral')	('worker_41', 'worker_1', 'worker_0', 'worker_51', 'worker_20', 'worker_43')	('neutral', 'neutral', 'attack', 'neutral', 'attack', 'neutral')	5	 Ohio	 Hon. Fred P.  President and Chairman  Export-Import Bank of the United States	0 0 -1 0 -1 0	Republican	0 2 0 1 2 0	-3 2 0 0 1 0	0 1 0 1 1 0	Chairman Jordan	0 0 0 1 1 1 0	1 0 0 3 1 1 0	0 3 3	0 1 1	1 3 2	-1 1 0 0 1 0	1 1 1	0.0	0.0	0.0	10000000	1	So there are no problems? Are you saying there are no problems with the deal?	0	100000000000000000000000000	So there are no problems? Are you saying there are no problems with the deal?	So there are no problems? Are you saying there are no problems with the deal?	So there are no problems? Are you saying there are no problems with the deal?	Are you saying there are no problems with the deal?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.198284149169922, -2.1956615447998047, 0.5972270369529724, -0.20876936614513397, -0.6721916198730469, 1.4205381870269775]	[5.198284149169922]	1	5.198284149169922	5.198284149169922	5.198284149169922	5.198284149169922	6
11635230020	100000	Mr. Weisselberg for sure about the entire discussions and negotiations prior to the election, and Don Jr. would have cursory information.	Would Don Jr. or Mr. Weisselberg have more information about that?	Would Don Jr. or Mr. Weisselberg have more information about that?	('somewhatPositive', 'positive', 'neutral', 'neutral', 'somewhatNegative', 'neutral', 'positive')	('neutral', 'somewhatNegative', 'somewhatNegative', 'neutral', 'somewhatNegative', 'somewhatPositive', 'neutral')	('worker_41', 'worker_20', 'worker_51', 'worker_0', 'worker_1', 'worker_44', 'worker_62')	('neutral', 'attack', 'neutral', 'attack', 'neutral', 'neutral', 'neutral')	1	 Maryland  Chairman	 Former Attorney to President Donald Trump 	0 -1 0 -1 0 0 0	Democratic	1 2 0 0 -1 0 2	0 -1 -1 0 -1 1 0	1 1 0 0 -1 0 1	Chairman Cummings	0 0 1 1 1 1 0	0 0 3 3 1 0 0	1 3 3	1 1 1	3 3 1	0 -1 -1 0 -1 1 0	1 1 1	0.0	0.0	0.0	10000000	2	Would Don Jr. or Mr. Weisselberg have more information about that?	0	100000000000000000000000000	Would Don Jr. or Mr. Weisselberg have more information about that?	Would Don Jr. or Mr. Weisselberg have more information about that?	Would Don Jr. or Mr. Weisselberg have more information about that?	Would Don Jr. or Mr. Weisselberg have more information about that?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.191665172576904, -2.047809362411499, 0.6782853007316589, -0.2580134868621826, -0.7858050465583801, 1.4507383108139038]	[5.191665172576904]	1	5.191665172576904	5.191665172576904	5.191665172576904	5.191665172576904	6
11388494169	100000	I don't think so.	You understand what it means? Is there any question on what it means?	Is there any question on what it means?	('positive', 'neutral', 'negative', 'neutral', 'neutral', 'veryNegative')	('somewhatNegative', 'neutral', 'somewhatPositive', 'positive', 'neutral', 'positive')	('worker_42', 'worker_0', 'worker_62', 'worker_9', 'worker_51', 'worker_39')	('neutral', 'attack', 'attack', 'neutral', 'neutral', 'attack')	2	 Utah	 Commissioner  Internal Revenue Service 	0 -1 -1 0 0 -1	Republican	2 0 -2 0 0 -3	-1 0 1 2 0 2	1 0 -1 0 0 -1	Mr. Chaffetz	1 1 0 1 0 1 0	0 0 1 2 1 2 0	2 3 1	1 1 1	1 2 3	-1 0 1 1 0 1	1 1 1	0.0	0.0	0.0	10000000	4	You understand what it means? Is there any question on what it means?	0	100000000000000000000000000	You understand what it means? Is there any question on what it means?	You understand what it means? Is there any question on what it means?	You understand what it means? Is there any question on what it means?	Is there any question on what it means?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.1812357902526855, -3.1837968826293945, 0.894346296787262, -0.31295153498649597, -0.19493313133716583, 1.261663794517517]	[5.1812357902526855]	1	5.1812357902526855	5.1812357902526855	5.1812357902526855	5.1812357902526855	6
11495063015	100000	I believe it was up to that point.	Was it the largest in the Bank's history at that time?	Was it the largest in the Bank's history at that time?	('neutral', 'positive', 'neutral', 'somewhatPositive', 'somewhatPositive', 'positive', 'neutral')	('veryNegative', 'positive', 'neutral', 'neutral', 'somewhatNegative', 'somewhatPositive', 'neutral')	('worker_41', 'worker_1', 'worker_0', 'worker_51', 'worker_52', 'worker_20', 'worker_43')	('neutral', 'neutral', 'attack', 'neutral', 'neutral', 'attack', 'neutral')	3	 Ohio	 Hon. Fred P.  President and Chairman  Export-Import Bank of the United States	0 0 -1 0 0 -1 0	Republican	0 2 0 1 1 2 0	-3 2 0 0 -1 1 0	0 1 0 1 1 1 0	Chairman Jordan	0 0 0 1 1 1 0	1 0 1 3 1 1 0	0 3 4	0 1 1	2 3 2	-1 1 0 0 -1 1 0	1 1 1	0.0	0.0	0.0	10000000	1	Was it the largest in the Bank's history at that time?	0	100000000000000000000000000	Was it the largest in the Bank's history at that time?	Was it the largest in the Bank's history at that time?	Was it the largest in the Bank's history at that time?	Was it the largest in the Bank's history at that time?	[1, 0, 0, 0, 0, 0]	[1, 0, 0, 0, 0, 0]	[5.174685955047607, -2.8892085552215576, 0.724249541759491, -0.21256960928440094, -0.43482184410095215, 1.328589916229248]	[5.174685955047607]	1	5.174685955047607	5.174685955047607	5.174685955047607	5.174685955047607	6
